HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Type 1,Type 2,Legendary
72,85,70,65,70,58,5,1,2,0
92,105,90,125,90,98,5,1,2,0
55,85,55,50,55,60,5,0,6,0
85,60,65,135,105,100,5,0,6,0
91,90,129,90,72,108,5,16,5,1
91,129,90,72,90,108,5,15,5,1
91,90,72,90,129,108,5,9,5,1
79,115,70,125,80,111,5,7,17,1
79,100,80,110,90,121,5,7,17,1
79,115,70,125,80,111,5,3,7,1
79,105,70,145,80,101,5,3,7,1
100,120,100,150,120,90,5,2,6,1
100,150,120,120,100,90,5,2,3,1
89,125,90,115,80,101,5,10,7,1
89,145,90,105,80,91,5,10,7,1
125,130,90,130,90,95,5,2,11,1
125,170,100,120,90,95,5,2,11,1
125,120,90,170,100,95,5,2,11,1
91,72,90,129,90,108,5,17,5,0
91,72,90,129,90,108,5,17,5,0
100,77,77,128,128,90,5,12,14,0
100,128,90,77,77,128,5,12,5,0
71,120,95,120,95,99,5,0,16,0
56,61,65,48,45,38,6,9,17,0
61,78,95,56,58,57,6,9,17,0
88,107,122,74,75,64,6,9,5,0
40,45,40,62,60,60,6,6,17,0
59,59,58,90,70,73,6,6,17,0
75,69,72,114,100,104,6,6,14,0
41,56,40,62,44,71,6,17,17,0
54,63,52,83,56,97,6,17,17,0
72,95,67,103,71,122,6,17,1,0
38,36,38,32,36,57,6,12,17,0
85,56,77,50,77,78,6,12,10,0
45,50,43,40,38,62,6,12,7,0
62,73,55,56,52,84,6,6,7,0
78,81,71,74,69,126,6,6,7,0
38,35,40,27,25,35,6,0,17,0
45,22,60,27,30,29,6,0,17,0
80,52,50,90,50,89,6,0,7,0
62,50,58,73,54,72,6,6,12,0
86,68,72,109,66,106,6,6,12,0
44,38,39,61,79,42,6,4,17,0
54,45,47,75,98,52,6,4,17,0
78,65,68,112,154,75,6,4,17,0
66,65,48,62,57,52,6,9,17,0
123,100,62,97,81,68,6,9,17,0
67,82,62,46,48,43,6,5,17,0
95,124,78,69,71,58,6,5,1,0
75,80,60,65,90,102,6,12,17,0
62,48,54,63,60,68,6,14,17,0
74,48,76,83,81,104,6,14,17,0
74,48,76,83,81,104,6,14,17,0
45,80,100,35,37,28,6,16,8,0
59,110,150,45,49,35,6,16,8,0
60,145,50,145,50,60,6,16,8,0
60,50,145,50,145,60,6,16,8,0
78,52,60,63,65,23,6,4,17,0
101,72,72,99,89,29,6,4,17,0
62,48,66,59,57,49,6,4,17,0
82,80,86,85,75,72,6,4,17,0
53,54,53,37,46,45,6,1,14,0
86,92,88,68,75,73,6,1,14,0
42,52,67,39,56,50,6,15,18,0
72,105,115,54,86,68,6,15,18,0
50,60,60,60,60,30,6,13,18,0
65,75,90,97,123,44,6,13,2,0
50,53,62,58,63,44,6,17,17,0
71,73,88,120,89,59,6,17,17,0
44,38,33,61,43,70,6,3,12,0
62,55,52,109,94,109,6,3,12,0
58,89,77,45,45,48,6,15,2,0
82,121,119,69,59,71,6,15,2,0
77,59,50,67,63,46,6,15,11,0
123,77,72,99,92,58,6,15,11,0
95,65,65,110,130,60,6,4,17,0
78,92,75,74,63,118,6,5,7,0
67,58,57,81,67,101,6,3,4,0
50,50,150,50,150,50,6,15,4,0
45,50,35,55,75,40,6,2,17,0
68,75,53,83,113,60,6,2,17,0
90,100,70,110,150,80,6,2,17,0
57,80,91,80,87,75,6,16,4,0
43,70,48,50,60,38,6,8,9,0
85,110,76,65,82,56,6,8,9,0
49,66,70,44,55,51,6,8,9,0
44,66,70,44,55,56,6,8,9,0
54,66,70,44,55,46,6,8,9,0
59,66,70,44,55,41,6,8,9,0
65,90,122,58,75,84,6,8,9,0
55,85,122,58,75,99,6,8,9,0
75,95,122,58,75,69,6,8,9,0
85,100,122,58,75,54,6,8,9,0
55,69,85,32,35,28,6,11,17,0
95,117,184,44,46,28,6,11,17,0
40,30,35,45,40,55,6,7,2,0
85,70,80,97,80,123,6,7,2,0
126,131,95,131,98,99,6,4,17,1
126,131,95,131,98,99,6,1,7,1
108,100,121,81,95,95,6,2,10,1
50,100,150,100,150,50,6,15,4,1
50,160,110,160,110,110,6,15,4,1
80,110,60,150,130,70,6,14,8,1
80,160,60,170,130,80,6,14,1,1
80,110,120,130,90,70,6,6,18,1
68,55,55,50,50,42,7,9,7,0
78,75,75,70,70,52,7,9,7,0
78,107,75,100,100,70,7,9,8,0
45,65,40,60,40,70,7,6,17,0
65,85,50,80,50,90,7,6,17,0
95,115,90,80,90,60,7,6,1,0
50,54,54,66,56,40,7,17,17,0
60,69,69,91,81,50,7,17,17,0
80,74,74,126,116,60,7,17,4,0
35,75,30,30,30,65,7,12,7,0
55,85,50,40,50,75,7,12,7,0
80,120,75,75,75,60,7,12,7,0
48,70,30,30,30,45,7,12,17,0
88,110,60,55,60,45,7,12,17,0
47,62,45,55,45,46,7,0,17,0
57,82,95,55,75,36,7,0,3,0
77,70,90,145,75,43,7,0,3,0
47,82,57,42,47,63,7,5,17,0
97,132,77,62,67,43,7,5,11,0
75,70,70,98,70,93,7,6,7,0
75,70,70,98,70,93,7,3,7,0
75,70,70,98,70,93,7,14,7,0
75,70,70,98,70,93,7,8,7,0
40,45,40,55,40,84,7,0,4,0
60,55,60,95,70,124,7,0,4,0
45,65,40,30,40,60,7,15,17,0
45,65,40,30,40,60,7,15,17,0
75,115,65,55,65,112,7,15,17,0
85,115,75,55,75,82,7,15,17,0
75,117,65,55,65,110,7,15,17,0
45,20,20,25,25,40,7,17,17,0
45,140,130,140,135,30,7,17,17,0
50,53,62,43,52,45,7,13,18,0
50,63,152,53,142,35,7,13,18,0
70,100,70,45,55,45,7,10,17,0
100,125,100,55,85,35,7,10,17,0
38,40,52,40,72,27,7,17,0,0
68,70,92,50,132,42,7,17,0,0
40,55,35,50,35,35,7,9,17,0
70,105,90,80,90,45,7,9,17,0
40,35,55,65,75,15,7,9,4,0
60,45,80,90,100,30,7,9,4,0
48,44,40,71,40,77,7,13,6,0
68,64,60,111,60,117,7,13,6,0
70,75,50,45,50,50,7,12,5,0
120,125,80,55,60,60,7,12,5,0
42,30,38,30,38,32,7,9,17,0
52,40,48,40,48,62,7,9,17,0
72,120,98,50,98,72,7,9,17,0
51,52,90,82,110,100,7,4,17,0
90,60,80,90,110,60,7,12,14,0
100,120,90,40,60,80,7,5,17,0
25,35,40,20,30,80,7,0,18,0
75,125,140,60,90,40,7,0,18,0
55,55,80,70,45,15,7,8,10,0
85,75,110,100,75,35,7,8,10,0
55,60,130,30,130,5,7,17,17,0
95,95,95,95,95,59,7,12,17,1
95,95,95,95,95,95,7,12,17,0
60,60,100,60,100,60,7,15,7,0
60,100,60,100,60,120,7,15,7,0
65,115,65,75,95,65,7,12,17,0
60,78,135,91,85,36,7,6,2,0
65,98,63,40,73,96,7,3,16,0
55,90,80,50,105,96,7,8,4,0
68,105,70,70,70,92,7,17,14,0
78,60,85,135,91,36,7,12,2,0
70,131,100,86,90,40,7,8,9,0
45,55,65,45,45,45,7,2,17,0
55,75,90,65,70,65,7,2,5,0
75,110,125,100,105,85,7,2,5,0
70,115,85,95,75,130,7,3,4,1
70,85,75,130,115,95,7,14,4,1
70,130,115,85,95,75,7,9,4,1
70,75,115,95,130,85,7,17,4,1
43,29,31,29,31,37,7,14,17,1
43,29,131,29,131,37,7,14,17,1
137,137,107,113,89,97,7,14,16,1
137,113,89,137,107,97,7,14,8,1
109,53,47,127,131,103,7,15,13,0
107,139,139,53,53,79,7,0,5,0
71,137,37,137,37,151,7,0,5,0
83,89,71,173,71,83,7,3,17,0
97,101,103,107,101,61,7,16,7,0
59,181,131,59,31,109,7,9,16,0
223,101,53,97,53,43,7,1,2,0
97,107,101,127,89,79,7,14,17,1
97,157,127,113,109,77,7,14,16,0
97,113,109,157,127,77,7,14,8,0
97,167,97,167,97,129,7,14,2,0
80,95,115,130,115,65,7,16,4,0
90,125,80,90,90,125,7,5,8,0
67,73,67,73,67,73,7,13,17,0
73,73,73,127,73,121,7,13,2,0
61,131,211,53,101,13,7,15,16,0
53,127,53,151,79,107,7,6,8,0
88,112,75,102,80,143,7,3,17,0
46,65,65,55,35,34,7,16,17,0
135,143,143,80,65,34,7,16,17,0
50,65,50,40,40,65,8,9,17,0
70,85,70,55,60,80,8,9,17,0
100,125,90,60,70,85,8,9,17,0
50,71,40,40,40,69,8,6,17,0
65,86,60,55,60,94,8,6,17,0
80,116,75,65,75,119,8,6,17,0
50,40,40,70,40,70,8,17,17,0
65,60,55,95,55,90,8,17,17,0
70,85,65,125,65,120,8,17,17,0
70,55,55,35,35,25,8,12,17,0
120,95,95,55,75,20,8,12,17,0
38,47,35,33,35,57,8,7,17,0
68,67,55,43,55,77,8,7,17,0
98,87,105,53,85,67,8,7,16,0
25,20,20,25,45,45,8,0,17,0
50,35,80,50,90,30,8,0,14,0
60,45,110,80,120,90,8,0,14,0
40,28,28,47,52,50,8,1,17,0
70,58,58,87,92,90,8,1,17,0
40,40,60,40,60,10,8,9,17,0
60,50,90,80,120,60,8,9,17,0
42,40,55,40,45,48,8,12,17,0
72,80,100,60,90,88,8,12,17,0
50,64,50,38,38,44,8,17,17,0
90,115,90,48,68,74,8,17,15,0
59,45,50,40,50,26,8,3,17,0
69,90,60,90,60,121,8,3,17,0
30,40,50,40,50,30,8,15,17,0
80,60,90,60,70,50,8,15,6,0
110,80,120,80,90,30,8,15,6,0
40,40,80,40,40,20,8,9,2,0
70,110,80,95,60,70,8,9,2,0
110,85,80,100,80,30,8,9,2,0
52,57,75,35,50,46,8,10,17,0
72,107,125,65,70,71,8,10,17,0
70,85,55,85,95,85,8,7,18,0
41,63,40,40,30,66,8,17,17,0
61,123,60,60,50,136,8,17,17,0
40,38,35,54,35,40,8,3,13,0
75,98,70,114,70,75,8,3,13,0
50,65,45,50,50,45,8,6,0,0
100,115,65,90,90,65,8,6,0,0
50,68,60,50,50,32,8,5,17,0
80,118,90,70,80,42,8,5,17,0
40,45,45,74,54,50,8,8,17,0
60,65,65,134,114,70,8,8,17,0
42,30,45,56,53,39,8,14,17,0
57,40,65,86,73,49,8,14,17,0
57,90,95,136,103,29,8,14,4,0
45,45,30,55,40,50,8,1,4,0
65,60,45,75,55,70,8,1,4,0
95,120,65,95,75,60,8,1,4,0
93,90,101,60,81,95,8,1,12,0
70,110,100,50,60,50,8,16,17,0
60,95,50,145,130,30,8,8,17,0
62,135,95,68,82,65,8,5,17,0
80,85,75,110,100,70,8,14,11,0
58,95,145,50,105,30,8,10,8,0
45,40,40,50,61,34,8,4,17,0
65,60,75,110,121,64,8,4,17,0
65,100,100,70,60,75,8,5,17,0
48,101,95,91,85,15,8,3,17,0
30,25,35,45,30,20,8,11,0,0
70,65,60,125,90,65,8,11,0,0
100,125,135,20,20,70,8,15,17,0
75,80,110,65,90,50,8,11,17,0
60,65,55,105,95,95,8,14,12,0
70,55,65,95,105,85,8,14,12,0
58,95,58,70,58,97,8,3,1,0
72,80,49,40,49,40,8,16,17,0
122,130,69,80,69,30,8,16,17,0
90,100,90,80,70,75,8,3,2,0
90,100,90,90,80,55,8,3,11,0
90,90,100,70,80,75,8,17,2,0
90,90,100,80,90,55,8,17,11,0
70,95,115,120,50,85,8,16,2,0
28,60,30,40,30,82,8,2,8,0
68,80,50,60,50,102,8,2,8,0
88,120,75,100,75,142,8,2,8,0
92,170,115,80,115,148,8,4,16,1
92,130,145,80,145,128,8,5,16,1
140,85,95,145,95,130,8,13,2,1
60,90,60,53,50,72,8,5,17,1
100,130,100,63,60,97,8,5,1,1
100,130,100,63,60,97,8,5,18,1
105,120,105,70,95,105,8,1,9,1
